3.4407	3.36
3.4903	3.4
3.6057	3.42
3.6074	3.38
3.5301	3.41
3.5733	3.53
3.589	3.54
3.6286	3.6
3.4629	3.66
3.4576	3.64
3.5773	3.72
3.5905	3.74
3.6718	3.78
3.7404	3.78
3.6286	3.85
3.8145	3.9
3.8293	3.9
3.8083	3.93
3.8851	3.94
3.7835	3.88
3.9006	3.92
3.8756	3.87
3.814	3.94
3.9471	3.86
3.9279	3.89
3.9859	3.84
4.0007	3.84
3.9865	3.87
3.9281	3.79
3.9695	3.81
4.028	3.78
3.9698	3.76
3.8882	3.73
3.833	3.64
3.802	3.67
3.7511	3.64
3.6931	3.62
3.7578	3.62
3.7879	3.53
3.6866	3.57
3.8267	3.52
3.6744	3.55
3.636	3.51
3.5647	3.49
3.6808	3.54
3.6756	3.49
3.5247	3.54
3.7168	3.55
3.7358	3.49
3.5717	3.49
3.4847	3.53
3.516	3.53
3.5679	3.53
3.6464	3.54
3.639	3.55
3.7187	3.55
3.5195	3.53
3.7013	3.53
3.5823	3.59
3.5705	3.55
3.6408	3.6
3.6118	3.56
3.6712	3.6
3.6322	3.57
3.6914	3.55
3.5888	3.55
3.6213	3.6
3.7021	3.58
3.7395	3.59
3.6136	3.59
3.6553	3.62
3.5588	3.54
3.5141	3.57
3.5817	3.54
3.5891	3.57
3.6427	3.58
3.6107	3.51
3.7177	3.51
3.5918	3.53
3.7178	3.51
3.6599	3.54
3.5313	3.55
3.5829	3.56
3.6186	3.48
3.6055	3.52
3.5603	3.54
3.4991	3.48
3.5446	3.51
3.5343	3.49
3.5382	3.49
3.5314	3.45
3.5479	3.46
3.599	3.43
3.5998	3.43
3.6175	3.47
3.4521	3.45
3.6157	3.44
3.4977	3.47
3.4438	3.4
3.5576	3.45
3.4404	3.43
3.4409	3.45
3.4459	3.43
3.6073	3.41
3.5314	3.45
3.5318	3.43
3.3861	3.44
3.5278	3.44
3.5363	3.42
3.5523	3.45
3.4558	3.52
3.496	3.51
3.4612	3.58
3.6159	3.57
3.3889	3.6
3.4704	3.62
3.5537	3.66
3.3962	3.69
3.4499	3.7
3.5316	3.77
3.4239	3.8
3.5266	3.78
3.501	3.81
3.4577	3.84
3.4078	3.88
3.5458	3.82
3.5616	3.85
3.4516	3.88
3.5289	3.87
3.474	3.83
3.544	3.84
3.5393	3.8
3.5282	3.74
3.5103	3.75
3.4673	3.77
3.4254	3.69
3.4142	3.65
3.4707	3.67
3.5282	3.64
3.5589	3.59
3.4422	3.63
3.4412	3.53
3.3559	3.59
3.3992	3.56
3.4028	3.53
3.4419	3.56
3.4482	3.5
3.4076	3.52
3.5116	3.54
3.4771	3.48
3.4496	3.47
3.4695	3.51
3.4856	3.52
3.4435	3.51
3.4188	3.51
3.4583	3.55
3.4321	3.48
3.5445	3.53
3.5856	3.49
3.7443	3.56
3.6004	3.53
3.7264	3.57
3.8114	3.51
3.8694	3.53
3.8675	3.54
3.9741	3.57
3.936	3.53
4.182	3.55
4.0296	3.57
4.2512	3.5
4.1885	3.58
4.176	3.55
4.2495	3.51
4.1909	3.55
4.0972	3.54
4.2049	3.49
4.0667	3.56
4.2209	3.54
4.0494	3.55
4.0235	3.53
3.9877	3.52
4.0821	3.53
3.951	3.48
4.0378	3.47
4.0381	3.53
4.0419	3.46
3.9118	3.48
3.9256	3.48
3.8978	3.49
3.8331	3.51
3.8068	3.45
3.7137	3.43
3.8615	3.48
3.7594	3.45
3.6522	3.43
3.7832	3.4
3.6643	3.43
3.6652	3.43
3.6736	3.43
3.7226	3.46
3.7673	3.42
3.6611	3.43
3.6458	3.39
3.7864	3.46
3.7051	3.41
3.8179	3.41
3.6733	3.37
3.7534	3.45
3.7553	3.39
3.6931	3.39
3.8844	3.41
3.8401	3.38
3.7258	3.39
3.8029	3.44
3.8251	3.38
3.7565	3.42
3.8851	3.44
3.7923	3.36
3.7215	3.41
3.8984	3.38
3.9037	3.41
3.9002	3.37
3.6835	3.36
3.8708	3.42
3.798	3.4
3.8453	3.36
3.8361	3.37
3.6603	3.36
3.8094	3.39
3.7857	3.36
3.6562	3.35
3.7569	3.4
3.6689	3.36
3.7586	3.38
3.7051	3.37
3.6709	3.35
3.7992	3.35
3.6499	3.36
3.6847	3.37
3.6539	3.39
3.7545	3.34
3.6035	3.34
3.556	3.33
3.6483	3.37
3.5942	3.35
3.6837	3.38
3.5406	3.3
3.6782	3.36
3.6417	3.37
3.5974	3.3
3.6656	3.34
3.5744	3.31
3.7134	3.32
3.7127	3.3
